YM,state,rev,rnk
2016-09,RR,136.23,1
2016-09,SP,NULL,2
2016-10,SP,14662.520000000002,1
2016-10,RJ,10066.3,2
2016-10,MG,5450.780000000001,3
2016-10,RS,3733.56,4
2016-10,PR,2580.35,5
2016-10,SC,2576.91,6
2016-10,CE,1949.7800000000002,7
2016-10,PE,1688.49,8
2016-10,PA,1283.09,9
2016-10,DF,1200.1100000000001,10
2016-10,GO,1154.67,11
2016-10,ES,1067.14,12
2016-10,MA,998.85,13
2016-10,BA,995.34,14
2016-10,RN,881.3399999999999,15
2016-10,MT,502.63,16
2016-10,SE,345.91999999999996,17
2016-10,PI,246.09,18
2016-10,AL,129.89999999999998,19
2016-10,PB,74.74,20
2016-10,RR,69.02,21
2016-12,PR,19.62,1
2017-01,SP,46878.509999999995,1
2017-01,MG,18641.36,2
2017-01,RJ,14785.389999999994,3
2017-01,RS,13615.9,4
2017-01,SC,7301.3099999999995,5
2017-01,PR,6302.4299999999985,6
2017-01,GO,4658.290000000001,7
2017-01,BA,4511.370000000001,8
2017-01,PA,2777.77,9
2017-01,ES,2492.58,10
2017-01,MT,2303.68,11
2017-01,PE,2151.93,12
2017-01,DF,2104.75,13
2017-01,PI,1453.98,14
2017-01,RN,1268.13,15
2017-01,CE,1266.1299999999999,16
2017-01,RO,825.5100000000001,17
2017-01,MA,798.0999999999999,18
2017-01,AC,723.15,19
2017-01,TO,676.8599999999999,20
2017-01,PB,463.13,21
2017-01,AL,454.36,22
2017-01,SE,381.78000000000003,23
2017-01,MS,170.36,24
2017-02,SP,89268.28999999995,1
2017-02,RJ,37919.35999999997,2
2017-02,MG,35110.929999999935,3
2017-02,PR,20797.739999999994,4
2017-02,RS,18324.020000000004,5
2017-02,PA,10958.210000000005,6
2017-02,DF,10729.63,7
2017-02,BA,8635.499999999998,8
2017-02,SC,8154.9900000000025,9
2017-02,MS,7927.160000000001,10
2017-02,ES,4639.419999999999,11
2017-02,MT,3583.36,12
2017-02,PI,3581.85,13
2017-02,PE,3321.2599999999993,14
2017-02,AL,2967.87,15
2017-02,GO,2898.31,16
2017-02,PB,2544.2999999999997,17
2017-02,CE,2483.5299999999997,18
2017-02,SE,2404.9799999999996,19
2017-02,RO,2051.9599999999996,20
2017-02,MA,1195.23,21
2017-02,AM,1122.54,22
2017-02,TO,939.55,23
2017-02,AP,707.2,24
2017-02,RN,648.61,25
2017-02,AC,597.4,26
2017-02,RR,108.74,27
2017-03,SP,150703.6700000002,1
2017-03,RJ,63366.65999999995,2
2017-03,MG,49519.82999999995,3
2017-03,RS,23559.890000000014,4
2017-03,SC,20600.329999999998,5
2017-03,BA,18630.19000000001,6
2017-03,PR,18426.579999999998,7
2017-03,GO,9971.98,8
2017-03,PA,9072.739999999998,9
2017-03,PE,8373.720000000001,10
2017-03,DF,8047.979999999999,11
2017-03,CE,7158.839999999999,12
2017-03,MS,6992.9,13
2017-03,ES,6006.230000000001,14
2017-03,PB,4936.409999999999,15
2017-03,SE,3210.7599999999993,16
2017-03,MA,2722.14,17
2017-03,MT,2702.55,18
2017-03,PI,2636.76,19
2017-03,RO,2523.68,20
2017-03,RN,2104.6,21
2017-03,AL,1421.4999999999998,22
2017-03,TO,899.1899999999999,23
2017-03,AM,793.39,24
2017-03,AC,530.1800000000001,25
2017-03,AP,412.89,26
2017-03,RR,330.81,27
2017-04,SP,147155.38999999987,1
2017-04,RJ,65036.53999999996,2
2017-04,MG,45584.81999999998,3
2017-04,BA,21058.75,4
2017-04,RS,20213.140000000007,5
2017-04,PR,18456.12999999999,6
2017-04,SC,13836.820000000003,7
2017-04,DF,8598.36,8
2017-04,CE,6973.489999999999,9
2017-04,GO,6577.330000000001,10
2017-04,ES,6452.679999999999,11
2017-04,PA,6108.209999999998,12
2017-04,AL,5375.170000000001,13
2017-04,PE,4866.530000000001,14
2017-04,MT,4521.73,15
2017-04,MA,3984.9100000000003,16
2017-04,TO,3814.47,17
2017-04,PB,3562.6800000000003,18
2017-04,SE,3340.07,19
2017-04,PI,2870.02,20
2017-04,MS,2208.44,21
2017-04,RN,1565.25,22
2017-04,AC,1351.51,23
2017-04,RO,1192.82,24
2017-04,AM,1176.23,25
2017-04,RR,106.89,26
2017-05,SP,199481.20999999947,1
2017-05,RJ,85507.73,2
2017-05,MG,58363.01999999993,3
2017-05,PR,36190.469999999994,4
2017-05,RS,33051.26999999999,5
2017-05,SC,26780.739999999998,6
2017-05,BA,20080.220000000005,7
2017-05,GO,19028.360000000008,8
2017-05,ES,15275.140000000009,9
2017-05,PE,12937.030000000004,10
2017-05,CE,12655.480000000007,11
2017-05,DF,9184.66,12
2017-05,MT,7680.93,13
2017-05,PI,6956.459999999999,14
2017-05,PA,6570.700000000001,15
2017-05,AL,5729.729999999999,16
2017-05,RN,5582.869999999999,17
2017-05,MA,4321.7,18
2017-05,MS,3958.6000000000004,19
2017-05,PB,3498.4300000000003,20
2017-05,TO,2671.87,21
2017-05,AC,2382.6400000000003,22
2017-05,AP,1508.84,23
2017-05,AM,1321.68,24
2017-05,SE,1059.53,25
2017-05,RO,828.8799999999999,26
2017-05,RR,317.97,27
2017-06,SP,193680.46999999968,1
2017-06,RJ,63066.200000000004,2
2017-06,MG,54568.85999999991,3
2017-06,RS,28843.610000000008,4
2017-06,PR,25955.729999999996,5
2017-06,BA,23796.33999999999,6
2017-06,SC,16083.599999999999,7
2017-06,ES,12343.289999999997,8
2017-06,CE,11404.85,9
2017-06,GO,11299.080000000002,10
2017-06,DF,9836.949999999997,11
2017-06,PE,7561.45,12
2017-06,PB,7404.699999999999,13
2017-06,PA,6918.589999999999,14
2017-06,MT,4948.29,15
2017-06,MS,4442.66,16
2017-06,TO,4441.120000000001,17
2017-06,PI,2626.9600000000005,18
2017-06,MA,2358.23,19
2017-06,RO,2311.0600000000004,20
2017-06,SE,1806.32,21
2017-06,RN,1593.0600000000002,22
2017-06,AL,1276.0200000000002,23
2017-06,AC,510.27,24
2017-06,AP,369.74,25
2017-06,AM,204.84,26
2017-06,RR,175.18,27
2017-07,SP,208874.5599999996,1
2017-07,RJ,90075.4999999999,2
2017-07,MG,64517.47999999999,3
2017-07,RS,34924.54999999998,4
2017-07,PR,29127.900000000005,5
2017-07,BA,23032.109999999997,6
2017-07,SC,22060.549999999992,7
2017-07,DF,12837.689999999999,8
2017-07,PE,12409.38,9
2017-07,MT,11348.929999999995,10
2017-07,GO,10576.970000000003,11
2017-07,CE,9833.210000000001,12
2017-07,ES,8957.26,13
2017-07,MA,7941.34,14
2017-07,PA,6769.959999999999,15
2017-07,PB,5527.03,16
2017-07,MS,4305.839999999999,17
2017-07,RN,4178.25,18
2017-07,AL,3029.6900000000005,19
2017-07,PI,2938.769999999999,20
2017-07,SE,1773.1899999999996,21
2017-07,RO,1428.6399999999999,22
2017-07,AM,951.4,23
2017-07,AC,794.4,24
2017-07,AP,292.39,25
2017-07,RR,225.01,26
2017-07,TO,126.58,27
2017-08,SP,226502.68999999895,1
2017-08,RJ,90493.97999999997,2
2017-08,MG,69672.57999999994,3
2017-08,RS,40960.59999999994,4
2017-08,PR,33412.85999999998,5
2017-08,BA,30420.019999999993,6
2017-08,SC,26079.10000000001,7
2017-08,PA,17155.530000000002,8
2017-08,GO,16333.189999999995,9
2017-08,PE,15758.779999999999,10
2017-08,ES,15384.630000000003,11
2017-08,CE,12957.669999999995,12
2017-08,DF,11677.95,13
2017-08,AL,9675.500000000002,14
2017-08,MT,7831.889999999999,15
2017-08,MA,7625.939999999999,16
2017-08,PI,5707.619999999999,17
2017-08,SE,5657.629999999999,18
2017-08,MS,4468.64,19
2017-08,RN,3273.35,20
2017-08,PB,3053.1100000000006,21
2017-08,RO,2815.97,22
2017-08,TO,2518.5199999999995,23
2017-08,AM,1483.41,24
2017-08,AC,765.83,25
2017-08,AP,384.78000000000003,26
2017-09,SP,244677.90999999968,1
2017-09,RJ,108434.00999999994,2
2017-09,MG,83956.21,3
2017-09,RS,43458.979999999945,4
2017-09,SC,29192.45999999998,5
2017-09,BA,28325.800000000007,6
2017-09,PR,26553.859999999982,7
2017-09,CE,19706.43,8
2017-09,PE,17658.390000000003,9
2017-09,GO,16358.339999999998,10
2017-09,DF,15514.66,11
2017-09,ES,13314.180000000004,12
2017-09,MA,11340.689999999997,13
2017-09,MT,8265.92,14
2017-09,PA,7731.740000000002,15
2017-09,PB,6860.380000000001,16
2017-09,MS,5569.4800000000005,17
2017-09,AL,5191.649999999998,18
2017-09,RO,4938.28,19
2017-09,TO,4399.72,20
2017-09,RN,4180.4400000000005,21
2017-09,PI,3911.9399999999996,22
2017-09,SE,3541.49,23
2017-09,AC,2029.23,24
2017-09,AM,1518.4399999999998,25
2017-09,AP,499.22,26
2017-09,RR,65.37,27
2017-10,SP,256868.39999999906,1
2017-10,RJ,112237.59999999983,2
2017-10,MG,94017.11000000006,3
2017-10,RS,43720.86999999993,4
2017-10,PR,37924.609999999964,5
2017-10,BA,29273.649999999998,6
2017-10,SC,24773.77000000001,7
2017-10,PE,20473.339999999993,8
2017-10,GO,19277.68,9
2017-10,DF,15305.140000000003,10
2017-10,CE,14418.400000000001,11
2017-10,MT,12892.880000000003,12
2017-10,ES,12667.550000000001,13
2017-10,MA,12526.980000000005,14
2017-10,PB,11597.449999999999,15
2017-10,PA,8768.439999999997,16
2017-10,MS,7301.7699999999995,17
2017-10,AL,6341.59,18
2017-10,RN,5352.019999999999,19
2017-10,SE,5123.29,20
2017-10,PI,4955.04,21
2017-10,TO,3238.069999999999,22
2017-10,RO,2385.01,23
2017-10,AP,1696.74,24
2017-10,AC,958.1700000000001,25
2017-10,RR,525.15,26
2017-10,AM,164.56,27
2017-11,SP,406881.2300000007,1
2017-11,RJ,175207.44000000015,2
2017-11,MG,155114.50000000003,3
2017-11,RS,68727.49999999993,4
2017-11,PR,55718.87,5
2017-11,SC,47000.02999999995,6
2017-11,BA,35846.729999999996,7
2017-11,DF,30731.849999999977,8
2017-11,ES,28879.929999999982,9
2017-11,GO,25076.21999999998,10
2017-11,PE,24380.149999999998,11
2017-11,CE,22531.790000000005,12
2017-11,PA,14431.580000000002,13
2017-11,MT,13430.330000000002,14
2017-11,MA,12454.039999999997,15
2017-11,RN,10050.309999999996,16
2017-11,MS,7451.299999999998,17
2017-11,AL,7441.469999999999,18
2017-11,RO,7057.469999999999,19
2017-11,SE,6613.39,20
2017-11,PB,5941.99,21
2017-11,PI,3805.389999999999,22
2017-11,TO,3078.919999999999,23
2017-11,AM,3001.01,24
2017-11,AC,945.16,25
2017-11,AP,689.1700000000001,26
2017-11,RR,151.46,27
2017-12,SP,319063.8099999992,1
2017-12,RJ,135675.89000000013,2
2017-12,MG,107716.18999999994,3
2017-12,RS,49127.81,4
2017-12,PR,35413.179999999986,5
2017-12,BA,33590.759999999995,6
2017-12,SC,28370.059999999998,7
2017-12,DF,19932.250000000007,8
2017-12,PE,19733.039999999997,9
2017-12,GO,18604.179999999997,10
2017-12,ES,14720.59,11
2017-12,CE,13588.750000000002,12
2017-12,PA,12382.399999999998,13
2017-12,MT,11216.21,14
2017-12,MA,7542.950000000003,15
2017-12,PB,7016.250000000002,16
2017-12,MS,6214.499999999999,17
2017-12,RN,4098.5,18
2017-12,SE,4051.92,19
2017-12,PI,3508.4800000000005,20
2017-12,AL,2680.76,21
2017-12,RO,2420.0600000000004,22
2017-12,TO,1892.1599999999999,23
2017-12,AC,1409.58,24
2017-12,AM,1173.6200000000001,25
2017-12,AP,770.56,26
2018-01,SP,425093.07000000007,1
2018-01,RJ,141673.66999999984,2
2018-01,MG,133805.9399999998,3
2018-01,RS,57283.89999999994,4
2018-01,PR,52635.53999999992,5
2018-01,SC,46195.009999999995,6
2018-01,BA,43922.32000000002,7
2018-01,ES,23528.219999999994,8
2018-01,DF,20756.9,9
2018-01,GO,20024.949999999997,10
2018-01,PE,18536.62,11
2018-01,PA,16737.800000000003,12
2018-01,CE,16606.140000000003,13
2018-01,MT,14673.119999999999,14
2018-01,MS,12029.880000000001,15
2018-01,MA,11118.78,16
2018-01,PI,8598.060000000001,17
2018-01,PB,8022.52,18
2018-01,RN,7209.520000000003,19
2018-01,AL,6485.900000000001,20
2018-01,SE,3732.32,21
2018-01,AM,3433.4600000000005,22
2018-01,TO,3336.25,23
2018-01,RO,3090.1,24
2018-01,AP,2788.74,25
2018-01,AC,1157.8899999999999,26
2018-01,RR,162.79,27
2018-02,SP,353380.7199999999,1
2018-02,RJ,136225.97,2
2018-02,MG,124954.64999999989,3
2018-02,RS,54875.22999999996,4
2018-02,PR,52544.270000000004,5
2018-02,BA,38063.799999999996,6
2018-02,SC,37801.20999999998,7
2018-02,DF,24866.85,8
2018-02,GO,21570.81000000001,9
2018-02,PE,20883.39,10
2018-02,ES,20332.53000000001,11
2018-02,CE,14143.140000000009,12
2018-02,MA,12463.689999999997,13
2018-02,PA,10994.710000000003,14
2018-02,MS,10129.11,15
2018-02,MT,9847.280000000002,16
2018-02,PB,6342.920000000001,17
2018-02,PI,5892.8899999999985,18
2018-02,AL,5680.85,19
2018-02,SE,5103.1,20
2018-02,RN,4144.53,21
2018-02,TO,3358.47,22
2018-02,AM,2486.6,23
2018-02,RO,2109.9700000000003,24
2018-02,AP,1086.31,25
2018-02,RR,384.01,26
2018-02,AC,299.22,27
2018-03,SP,436645.1300000005,1
2018-03,MG,141693.90000000005,2
2018-03,RJ,141053.51000000013,3
2018-03,RS,68068.17,4
2018-03,PR,60039.469999999994,5
2018-03,BA,45398.290000000015,6
2018-03,SC,43141.090000000004,7
2018-03,PE,27020.860000000008,8
2018-03,DF,24909.000000000004,9
2018-03,GO,23637.069999999992,10
2018-03,CE,22544.75000000001,11
2018-03,ES,20604.41000000001,12
2018-03,PA,16405.360000000008,13
2018-03,MA,11033.740000000002,14
2018-03,MT,10492.419999999998,15
2018-03,RN,9095.810000000001,16
2018-03,MS,9033.139999999998,17
2018-03,AL,8184.59,18
2018-03,PI,8158.83,19
2018-03,PB,8067.229999999999,20
2018-03,TO,5579.629999999999,21
2018-03,SE,3504.4000000000005,22
2018-03,RO,3305.8499999999995,23
2018-03,RR,2643.6400000000003,24
2018-03,AM,1607.2399999999998,25
2018-03,AP,704.5400000000001,26
2018-03,AC,164.67000000000002,27
2018-04,SP,449506.14000000193,1
2018-04,RJ,144663.73000000016,2
2018-04,MG,130597.56000000007,3
2018-04,PR,76791.51000000002,4
2018-04,RS,61424.89999999999,5
2018-04,SC,51809.43000000001,6
2018-04,BA,38804.83,7
2018-04,GO,22558.23,8
2018-04,PE,22240.47000000001,9
2018-04,DF,21551.739999999987,10
2018-04,CE,20973.950000000004,11
2018-04,ES,20181.629999999997,12
2018-04,PA,14489.050000000003,13
2018-04,MT,13752.37,14
2018-04,PI,12911.769999999999,15
2018-04,MA,10023.53,16
2018-04,RN,7518.84,17
2018-04,AL,7201.209999999998,18
2018-04,MS,7053.140000000001,19
2018-04,PB,5783.440000000001,20
2018-04,TO,5370.51,21
2018-04,RO,4085.7200000000003,22
2018-04,SE,3713.7400000000002,23
2018-04,AP,1042.8,24
2018-04,AM,893.49,25
2018-04,RR,772.01,26
2018-04,AC,588.17,27
2018-05,SP,488645.7400000017,1
2018-05,RJ,146373.95000000004,2
2018-05,MG,120566.49000000008,3
2018-05,RS,60118.420000000006,4
2018-05,PR,54483.619999999966,5
2018-05,BA,42578.740000000056,6
2018-05,SC,41778.759999999966,7
2018-05,DF,29198.370000000003,8
2018-05,GO,27869.24,9
2018-05,ES,22420.839999999993,10
2018-05,PE,16788.28000000001,11
2018-05,MT,14789.899999999998,12
2018-05,CE,14529.33,13
2018-05,MS,11059.729999999998,14
2018-05,PA,9160.55,15
2018-05,PI,8647.630000000003,16
2018-05,MA,8589.54,17
2018-05,PB,5909.590000000001,18
2018-05,RN,4998.86,19
2018-05,AL,4393.1,20
2018-05,TO,3314.33,21
2018-05,RO,3157.5099999999998,22
2018-05,AM,2192.48,23
2018-05,AC,1501.42,24
2018-05,SE,1320.5900000000001,25
2018-05,AP,1189.93,26
2018-05,RR,171.69,27
2018-06,SP,394378.96000000066,1
2018-06,MG,125358.97000000006,2
2018-06,RJ,121975.88000000008,3
2018-06,RS,53147.639999999985,4
2018-06,PR,50248.06000000002,5
2018-06,BA,42439.21999999999,6
2018-06,SC,39055.27000000001,7
2018-06,DF,23708.659999999993,8
2018-06,ES,20717.77999999999,9
2018-06,CE,20097.45,10
2018-06,PE,18534.130000000005,11
2018-06,GO,17381.310000000005,12
2018-06,PB,14221.130000000003,13
2018-06,MT,13008.549999999996,14
2018-06,PA,11950.550000000001,15
2018-06,MS,10765.750000000005,16
2018-06,RN,8490.830000000004,17
2018-06,MA,7964.570000000001,18
2018-06,PI,5999.96,19
2018-06,SE,5091.959999999999,20
2018-06,TO,4987.030000000001,21
2018-06,AL,4852.93,22
2018-06,RO,2418.97,23
2018-06,RR,1642.4099999999999,24
2018-06,AM,1211.1399999999999,25
2018-06,AC,597.26,26
2018-06,AP,247.92000000000002,27
2018-07,SP,375436.4499999997,1
2018-07,RJ,119584.14000000006,2
2018-07,MG,110217.38000000008,3
2018-07,PR,54129.90000000002,4
2018-07,BA,50741.449999999975,5
2018-07,RS,48622.56999999999,6
2018-07,SC,37199.87,7
2018-07,ES,33688.27,8
2018-07,PE,30325.34999999998,9
2018-07,DF,27296.87000000001,10
2018-07,GO,24565.379999999994,11
2018-07,PB,20455.109999999993,12
2018-07,CE,16845.129999999997,13
2018-07,PA,15851.640000000001,14
2018-07,MT,12645.679999999998,15
2018-07,RN,9679.730000000001,16
2018-07,PI,8471.109999999999,17
2018-07,MA,8361.389999999998,18
2018-07,MS,8295.339999999998,19
2018-07,SE,5655.15,20
2018-07,RO,5249.380000000001,21
2018-07,AL,4825.2,22
2018-07,TO,3795.0899999999997,23
2018-07,AM,2598.4100000000003,24
2018-07,RR,1960.59,25
2018-07,AC,1769.95,26
2018-07,AP,1613.63,27
2018-08,SP,450984.65999999916,1
2018-08,MG,114031.81000000014,2
2018-08,RJ,112570.83000000002,3
2018-08,RS,52001.270000000004,4
2018-08,PR,46900.50000000002,5
2018-08,SC,38389.200000000004,6
2018-08,BA,26896.020000000004,7
2018-08,DF,23497.260000000002,8
2018-08,GO,21204.649999999998,9
2018-08,ES,19431.450000000008,10
2018-08,PE,15478.290000000003,11
2018-08,CE,11881.569999999998,12
2018-08,PA,10965.900000000001,13
2018-08,PB,9237.03,14
2018-08,MS,6551.9400000000005,15
2018-08,RN,5993.749999999999,16
2018-08,MT,5783.76,17
2018-08,SE,5600.789999999999,18
2018-08,MA,5325.360000000001,19
2018-08,PI,3979.8399999999997,20
2018-08,RO,3236.6299999999997,21
2018-08,AL,2913.7099999999996,22
2018-08,TO,2665.51,23
2018-08,AC,604.52,24
2018-08,AM,512.5,25
2018-08,AP,257.4,26
2018-09,SP,166.46,1
